mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0014256636301676433,0.0004278290735145303,0.0,0.0,,auto,1,2,500,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",,,,,,217
0.0009641647338867188,0.0006818118875581019,0.0,0.0,,auto,1,2,1000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",,,,,,217
0.0014414787292480469,0.0010623419472215489,0.0,0.0,,auto,1,2,2000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 2000}",,,,,,217
0.001401980717976888,0.0016347790898752813,0.0,0.0,,auto,1,5,500,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",,,,,,217
0.0006707509358723959,0.0009485850704851883,0.0,0.0,,auto,1,5,1000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}",,,,,,217
0.0016628106435139973,0.0009014331508013191,0.0,0.0,,auto,1,5,2000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 2000}",,,,,,217
0.0014468034108479817,0.0012506597596646457,0.0,0.0,,auto,1,10,500,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",,,,,,217
0.0021860599517822266,0.0016527980127998465,0.0,0.0,,auto,1,10,1000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1000}",,,,,,217
0.0019287268320719402,0.00012117706211663961,0.0,0.0,,auto,1,10,2000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 2000}",,,,,,217
0.0013448397318522136,0.0009509452940017984,0.0,0.0,,auto,2,2,500,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",,,,,,217
0.0005036195119222006,0.0007122255440360946,0.0,0.0,,auto,2,2,1000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",,,,,,217
0.0005461374918619791,0.0007723550479116369,0.0,0.0,,auto,2,2,2000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 2000}",,,,,,217
0.0015221436818440754,0.0004101273289998772,0.0,0.0,,auto,2,5,500,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",,,,,,217
0.0017778873443603516,0.00044877964294399964,0.0,0.0,,auto,2,5,1000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1000}",,,,,,217
0.001886129379272461,0.0005483612115811267,0.0,0.0,,auto,2,5,2000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 2000}",,,,,,217
0.0017528533935546875,0.000492107767941447,0.0,0.0,,auto,2,10,500,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",,,,,,217
0.001332998275756836,0.00020443509206022036,0.0,0.0,,auto,2,10,1000,"{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}",,,,,,217
